text,name,id,label,lang,translated
"""Ne kemiat on hiottu kuntoon vuosia sitten!""

HIFK:n 21-vuotias hyökkääjä Juha Jääskä on jälleen pelikunnossa. Mats https://t.co/Ck4WaieCNy",HIFKHockey,64352152,0,fi,"""They chemistries are ground into shape several years ago!""

HIFK's 21-year-old striker Juha Jääskä is fit to play again. Mats https://t.co/Ck4WaieCNy"
HIFK:n maalivahti Frans Tuohimaa edustaa Suomea viikonlopun EHT-turnauksessa. #HIFK @leijonat https://t.co/gYuhu8INQ7,HIFKHockey,64352152,0,fi,HIFK's goalkeeper Frans Tuohimaa represents the Finnish EHT weekend tournament. #HIFK @leijonat https://t.co/gYuhu8INQ7
"RT @HelsinkiREDS: hREDS 2.0 

#hREDS #bigbadRED https://t.co/NLnmNG46F9",HIFKHockey,64352152,0,en,"RT @HelsinkiREDS: hREDS 2.0 

#hREDS #bigbadRED https://t.co/NLnmNG46F9"
"Kyoceran uutisminuutissa viikon puheenaiheet 

 yhden matsin viikko
 EHT
 Arttu Luttinen

#HIFK #Liiga https://t.co/KnBg8948sQ",HIFKHockey,64352152,0,fi,"Kyocera uutisminuutissa week's topics

 a match one week
 EHT
 Arttu Luttinen

#HIFK #Liiga https://t.co/KnBg8948sQ"
"Joko lätkähammasta kolottaa?  

Ensiapua tarjolla jo tänään. @HIFKHockeyU20 vs. KooKoo 
 18:30 / Elisa-areena

Te https://t.co/6a0fnxqgiP",HIFKHockey,64352152,0,fi,"Either hockey tooth ache?

First aid available today. @ HIFKHockeyU20 vs KooKoo
 18:30 / Elisa Arena

you https://t.co/6a0fnxqgiP"
Liigan keräilykorttisarja 2019-20 Cardset Series 1 on taas tähtiä täynnä. HIFK:n Anton Lundell esiintyy peruskortin https://t.co/gqkaJBxdNt,HIFKHockey,64352152,0,fi,League trading card series 2019-20 Cardset Series 1 is again full of stars. HIFK's Anton Lundell found in the base card https://t.co/gqkaJBxdNt
"Arttu Luttisen juhlaottelu pelataan keskiviikkona 18.12. lä missaa tätä matsia. Nordis kutsuu!
Lue lisää: https://t.co/Xp7xQ8sljd",HIFKHockey,64352152,0,fi,"Arttu Luttinen celebration match will be played on Wednesday, 18.12. DO miss this the match. Nordis calling!
Read more: https://t.co/Xp7xQ8sljd"
Junnujen alkusarjat on pian skulattu päätökseensä. Viime viikolla pelattiin mm. paikallis herruudesta kolmessa ikäl https://t.co/FluHgVwxVl,HIFKHockey,64352152,0,fi,"Junior initial series will soon be skulattu statements. Last week, headed mm. local domination in three ikäl https://t.co/FluHgVwxVl"
Kärkipelaajat ovat tehneet hurjaa jälkeä alkukaudella. Takana on taitojen ja harjoittelun lisäksi loistava joukkueh https://t.co/xp6jX8wrOU,HIFKHockey,64352152,1,fi,Top players have done a furious trace the beginning of the period. Behind is the skills and training in addition to a great joukkueh https://t.co/xp6jX8wrOU
HIFK Shopissa on hyllyt väärällään joululahjaideoita. Myynnissä tuttuun tyyliin mm. ottelulippu-voucherit + kaulali https://t.co/KupCmbRNJ4,HIFKHockey,64352152,2,fi,SCUBA Shop shelves is wrong by christmas gift ideas. Sale familiar style mm. match ticket vouchers + scarve https://t.co/KupCmbRNJ4
Nähdäänkö HIFK-legenda Toni Söderholm joskus tulevaisuudessa stadilaisten peräsimessä?  Kuinka 94-vuotias sotavete https://t.co/BmjIWG3A0G,HIFKHockey,64352152,0,fi,See you HIFK legend Toni Söderholm sometime in the future stadi types helm? How 94-year-old sotavete https://t.co/BmjIWG3A0G
TIEDOTE: HIFK:n hyökkääjä Teemu Turunen on loukkaantumisen takia sivussa peleistä noin kolmen viikon ajan. Turuselt https://t.co/KLhDDowfDc,HIFKHockey,64352152,2,fi,PRESS RELEASE: HIFK's striker Teemu Turunen is on the side of the games due to injury for about three weeks. Turuselt https://t.co/KLhDDowfDc
Miksi moni uransa parhaassa vaiheessa oleva huippupelaaja haluaapelata nimenomaan HIFK:ssa? Minkälaisen jäljen val https://t.co/m2fowMfnXq,HIFKHockey,64352152,0,fi,Why many of the best stage of his career top player wants to play specifically for HIFK in? What kind of track Val https://t.co/m2fowMfnXq
"Maaginen Engren + sarjan paras ylivoima = kolme sarjapistettä! 

SVEA Matsiraportti  https://t.co/qyq831geSx https://t.co/0qlOmzBfDX",HIFKHockey,64352152,1,fi,"Magical Hallengren + series of the best superior = three series of points!

SVEA Matsi Report https://t.co/qyq831geSx https://t.co/0qlOmzBfDX"
Jere Sallinen. Eilen Linnan juhlissa ja tänään 2+2 Oulussa. Ei se booliresepti turhaan ole salainen. #HIFK #Liiga https://t.co/3aoTetrReO,HIFKHockey,64352152,0,fi,Jere Sallinen. Yesterday and today the castle at a party 2 + 2 in Oulu. It's no secret booliresepti in vain. #HIFK #Liiga https://t.co/3aoTetrReO
"HYV YT OULU

OULU 1 - 4 STADI 

#HIFK #Liiga https://t.co/U9y3jk1jau",HIFKHockey,64352152,2,fi,"Pass YT OULU

OULU 1 to 4 STADI

#HIFK #Liiga https://t.co/U9y3jk1jau"
Illan neljäs ylivoimaosuma lähtee Teemu Turusen lavasta! Syötöt Salliselle ja Lyytiselle. Reilu minuutti matsia jä https://t.co/joJkZhCfQl,HIFKHockey,64352152,2,fi,fourth hit of the evening leaves the overwhelming Teemu Turunen platform! Passes Sallinen and Lyytinen. Fair minute Mats and https://t.co/joJkZhCfQl
"Sallinen 2+1 toistaiseksi ja 31 meille! Aikaa 4:18 jäljellä. 

#HIFK #Liiga https://t.co/aRnNfixb27",HIFKHockey,64352152,0,fi,"Sallinen 2 + 1 and so far 31 of us! Time 4:18 remaining.

#HIFK #Liiga https://t.co/aRnNfixb27"
#Liiga #HIFK https://t.co/q1pU3Cqpgu,HIFKHockey,64352152,0,und,#Liiga #HIFK https://t.co/q1pU3Cqpgu
Lauantai-illan knoppitieto: ennen tätä iltaa Kärpät oli päästänyt 27 ottelussa 3 maalia alivoimaisena. Tänään HIFK https://t.co/ogK1Ddzt9K,HIFKHockey,64352152,0,fi,Saturday Night knoppitieto: before this evening Kärpät had let 27 match 3 goals outnumbered. Today HIFK https://t.co/ogK1Ddzt9K
BYYRI!!! Ylivoima toimii jälleen. Jere Sallinen lyö maaliviivalta karat sisään HIFK:n pelatessa kahden miehen ylivo https://t.co/ICmosJcQY3,HIFKHockey,64352152,0,fi,BYYRI !!! Force is working again. Jere Sallinen beats finish line spindles in HIFK while playing a two-man ylivo https://t.co/ICmosJcQY3
"Atte Engren ottaa tuplakopit alivoimalla ja nolla pitää! 

#HIFK #Liiga https://t.co/wtfR1iIMNT",HIFKHockey,64352152,0,fi,"Atte Hallengren take tuplakopit shorthanded and zero keep!

#HIFK #Liiga https://t.co/wtfR1iIMNT"
"Jere Sallinen on pakannut pelisilmän mukaan reissuun. Komeita hakuja ensimmäisessä erässä. 

Toiseen kaksikymppise https://t.co/HEAfvL5QlA",HIFKHockey,64352152,0,fi,"Jere Sallinen has packed game the eye of the road. Handsome searches in the first round.

The second twenties https://t.co/HEAfvL5QlA"
BYYRI!!! Otto Paajanen kaivaa mailansa häirinnästä huolimatta esiin ja ohjaa Teemu Turusen kovan passin sisään yliv https://t.co/8eQQLBpx7L,HIFKHockey,64352152,0,fi,BYYRI !!! Otto Paajanen dig his stick in spite of the harassment and directs Teemu Turunen's hard passport in Overflow There is https://t.co/8eQQLBpx7L
"Leskinen ja muu avausviisikko kuulutettu sisään. Matsi käyntiin! 

#HIFK #Liiga",HIFKHockey,64352152,0,fi,"Newton and other synagogue in the opening quintet. Smash!

#HIFK #Liiga"
"Perinteinen HIFK Shopin Joulumyynti järjestetään sunnuntaina 8.12 klo 12-18. 

Paljon tuotteita alennuksessa, käy n https://t.co/dHlRQEg9YW",HIFKHockey,64352152,0,fi,"The traditional SCUBA Shop Christmas sales will be held on Sunday 8/12 12-18.

A lot of products on sale, it's https://t.co/dHlRQEg9YW"
"Leskinen debytoi Turusen ja Paajasen rinnalla! 

Lue lisää ja tsekkaa #HIFK 'n kokoonpano  https://t.co/P2Lu5TzxmQ",HIFKHockey,64352152,0,fi,"Newton made his debut alongside Turunen and Paajanen!

Read more and check out #HIFK 'n configuration https://t.co/P2Lu5TzxmQ"
Ville Leskiselle IFK-debyytti illalla Oulussa! #HIFK #Liiga https://t.co/5EeYrUgHZN,HIFKHockey,64352152,0,fi,"Ville Leskinen IFK debut evening of Oulu, Finland! #HIFK #Liiga https://t.co/5EeYrUgHZN"
"Hyvää itsenäisyyspäivää! 
Glad självständighetsdag! #HIFK #Liiga https://t.co/VRwgHdL4X6",HIFKHockey,64352152,1,fi,"Happy Independence Day!
Glad självständighetsdag! #HIFK #Liiga https://t.co/VRwgHdL4X6"
"""Ilveksen vire ei ole sattumaa.""

Nuori tamperelaisjoukkue haki pisteet Nordikselta. SVEA Matsiraportti, ottelukoos https://t.co/YJf9hR1VkG",HIFKHockey,64352152,0,fi,"""Ilves undertone is not a coincidence.""

Young tamperelaisjoukkue filed score Nordikselta. SVEA Matsi Report, ottelukoos https://t.co/YJf9hR1VkG"
"""Näin tällä kertaa"" 

Aleksi Laakson kommentit OP Helsinki Postgamessa, olkaa hyvät!   

https://t.co/yIpIgSFwSa https://t.co/XHsTApDHHi",HIFKHockey,64352152,0,fi,"""So this time""

Aleksi Laakso's comments Helsinki OP Postgamessa, please be good!

https://t.co/yIpIgSFwSa https://t.co/XHsTApDHHi"
Ilves on tänään parempi lukemin 2-4.  Huomenna Ouluun  ja lauantaina Kärpät-IFK. #HIFK #Liiga https://t.co/4j75vAjynL,HIFKHockey,64352152,1,fi,Ilves today is better than their opening 2-4. Tomorrow and Saturday to Oulu Kärpät-IFK. #HIFK #Liiga https://t.co/4j75vAjynL
"Ottelu on päättynyt, HIFK-Ilves 2-4. 
Kova peli, onnittelut Ilvekselle voitosta. #HIFK",HIFKHockey,64352152,0,fi,"The match has ended, HIFK-Ilves 2-4.
Hard game, congratulations Ilves victory. #HIFK"
Ilves tyhjiin 2-4 ajassa 59.05.,HIFKHockey,64352152,0,fi,Ilves 2-4 empty time 59.05.
Ilves 2-3 ajassa 49.22.,HIFKHockey,64352152,0,fi,Ilves 2-3 after 49.22.
"Illan yleisömäärä 7452. Kiitos, tack! #HIFK",HIFKHockey,64352152,1,fi,"The evening audience of 7452. Thank you, tack! #HIFK"
Ilves tasoittaa 2-2:een ajassa 45.07.,HIFKHockey,64352152,0,fi,Lynx pave 2-2: C. 45.07 period of time.
Kolmas erä käynnissä!,HIFKHockey,64352152,1,fi,The third installment in progress!
"Kaksi erää pelattu, HIFK-Ilves 2-1.",HIFKHockey,64352152,0,fi,"Two batches of the game, HIFK-Ilves 2-1."
Yv-maalin aika 38.16.,HIFKHockey,64352152,0,fi,Yv-time goal from 38.16.
"MAALI! Kousa syöttää hidastetun viivalta, Sallinen jatkaa tolpan kautta Turuselle, joka tekee 2-1! #HIFK",HIFKHockey,64352152,0,fi,"PAINT! Kousa enter the slow line, Sallinen continue through square Turunen, which makes the 2-1! #HIFK"
Ilves tasoittaa 1-1:een ajassa 43.22.,HIFKHockey,64352152,0,fi,Lynx pave 1-1 C. 43.22 period of time.
MAALI! Jere Sallinen ampuu yläpesään 1-0 ajassa 21.44. Syött. Tallberg ja Ahonen. #HIFK,HIFKHockey,64352152,0,fi,PAINT! Jere Sallinen struck yläpesään 1-0 after 21.44. Syött. Tallberg and Ahonen. #HIFK
Toinen erä käynnissä!,HIFKHockey,64352152,1,fi,The second installment in progress!
"Ensimmäinen erä pelattu, HIFK-Ilves 0-0.",HIFKHockey,64352152,0,fi,"The first batch of the game, HIFK-Ilves 0-0."
"HIFK-Ilves, ensimmäinen erä käynnissä!",HIFKHockey,64352152,1,fi,"HIFK-Ilves, the first batch in progress!"
Wiljami Myllylä siirtyy kahden ottelun lainasopimuksella Mestis-joukkue Hermekseen. #HIFK,HIFKHockey,64352152,0,fi,Wiljami Myllylä moves two-match loan agreement mestizo-team Hermes. #HIFK
Tervetuloa!  https://t.co/1KhrPdYbx3,HIFKHockey,64352152,1,fi,Welcome! https://t.co/1KhrPdYbx3
"""Kaverin ylivoimaa täytyy kunnioittaa."" 

Tänään Nordiksella toisensa kohtaavat sarjan tehokkaimmat ylivoimajengi https://t.co/0fGG8zSzFu",HIFKHockey,64352152,1,fi,"""Friend superiority must be respected.""

Today Nordiksella again encounter a series of effective dominance of the gang https://t.co/0fGG8zSzFu"
Tänään Nordiksella IFK-Ilves kello 18:30 - Tervetuloa! #HIFK #Liiga #Ilves https://t.co/C3VaiZKTgw,HIFKHockey,64352152,0,fi,Today Nordiksella Ilves-IFK at 18:30 - Welcome! #HIFK #Liiga #Ilves https://t.co/C3VaiZKTgw
RT @Osasto41: @Hopeyhdistys @ilveshockey #Ilves #Ilvesperhe #Tampere #Liiga https://t.co/PHZQXskPJO,ilveshockey,454739528,0,und,RT @Osasto41: @Hopeyhdistys @ilveshockey #Ilves #Ilvesperhe #Tampere #Liiga https://t.co/PHZQXskPJO
"Perjantai-ilta, täpötäysi Hakametsä ja kauden neljäs paikallispeli! 

 Pe 13.12. Tappara-Ilves
 Liput: https://t.co/0LfBu3yDMI",ilveshockey,454739528,0,fi,"On Friday evening, a jam-packed Hakametsä and the fourth local game of the season!

 Fri 13.12. Tappara-Ilves
 Tickets: https://t.co/0LfBu3yDMI"
"Liigan sarjataulukko 

Kärpät 71
Tappara 63
#ILVES 56 
JYP 55
HIFK 53
HPK 48
-----
Lukko 45
KooKoo 44
SaiPa 38
Ka https://t.co/nUJasWvUB5",ilveshockey,454739528,0,fi,"League Standings

Kärpät 71
Tappara 63
#ILVES 56
JYP 55
HIFK 53
HPK 48
-----
lock 45
KooKoo 44
SaiPa 38
Ka https://t.co/nUJasWvUB5"
"RT @ilvesmaskotti:  Kuuden ottelun voittoputkessa!

#Ilves #Liiga https://t.co/g8Wdz2y55L",ilveshockey,454739528,0,fi,"RT @ilvesmaskotti: six-match winning streak!

#Ilves #Liiga https://t.co/g8Wdz2y55L"
Ilveksen viiden ottelun voittoputki sai tänään jatkoa Vaasassa. Ilves iski avauserässä kolme maalia kuuteen ja puol https://t.co/ja38kQU9dD,ilveshockey,454739528,1,fi,Ilves five-match winning streak got today a continuation of Vaasa. Ilves struck three goals in the first round six and half https://t.co/ja38kQU9dD
"Vaasan Sport kaatuu Kuparisaaressa!

#Ilves #Liiga https://t.co/YTzzmrmpze",ilveshockey,454739528,0,et,"Vaasan Sport kaatuu Kuparisaaressa!

#Ilves #Liiga https://t.co/YTzzmrmpze"
"2:28 jäljellä. Ilves johtaa maalilla. Sport hakee tasoitusta ilman maalivahtia.

#TaisteleIlves
#TaisteleIlves https://t.co/WP4sdhe7Q8",ilveshockey,454739528,0,fi,"2:28 remaining. Ilves lead paint. Sport searching for an equalizer without goalkeeper.

#TaisteleIlves
#TaisteleIlves https://t.co/WP4sdhe7Q8"
"Viimeinen kymppi kovassa vauhdissa Vaasassa - tästä tulee vielä hurja loppu! 

52 min Sport vs. Ilves 2-3

#Ilves https://t.co/MirVI4rr5g",ilveshockey,454739528,0,fi,"The last ten Vaasa at high speeds - this becomes still rattling the end!

52 min Sport vs Ilves 2-3

#Ilves https://t.co/MirVI4rr5g"
"Sport iskee ylivoimalla toistamiseen.

2-3.



#Ilves #Liiga",ilveshockey,454739528,0,fi,"Sport superiority strikes again.

2-3.



#Ilves #Liiga"
"Kolmannen erän alkuun Ilveksen illan ensimmäinen ylivoima. 

#Ilves #Liiga",ilveshockey,454739528,0,fi,"the beginning of the third installment of the lynx tonight's first overwhelming.

#Ilves #Liiga"
"Kolmas erä käyntiin Vaasassa!

Hoidetaan pisteet Tampereelle!

#Ilves #Liiga https://t.co/fXKuxU6Yvg",ilveshockey,454739528,0,fi,"The third installment started in Vaasa, Finland!

Let's score Tampere!

#Ilves #Liiga https://t.co/fXKuxU6Yvg"
"Toisessä erässä oltiin vaasalaisessa mankelissa.

 Torjunnat:
Hovinen/Stefan 11+7
Dostl 8+15

#Ilves #Liiga https://t.co/GlLSknXHO2",ilveshockey,454739528,0,fi,"In the second period we were kind of Vaasa mangle.

 Saves:
Hovinen / Stefan 11 + 7
Dostl 8 + 15

#Ilves #Liiga https://t.co/GlLSknXHO2"
 https://t.co/NUmYhpOhi8,ilveshockey,454739528,0,und, https://t.co/NUmYhpOhi8
"Toinen erä käyntiin Vaasassa!

#Ilves #Liiga https://t.co/3w5289SnPe",ilveshockey,454739528,0,fi,"The second batch started in Vaasa, Finland!

#Ilves #Liiga https://t.co/3w5289SnPe"
"Dancin' on the Copper Island 

Ilves johtaa Vaasassa avauserän jälkeen maalein 0-3!

#Ilves #Liiga #Telia | Liiga https://t.co/6B6TRrWceT",ilveshockey,454739528,0,fi,"Dancin 'on the Copper Island

Ilves result in Vaasa after the opening installment maalein 0-3!

#Ilves #Liiga #Telia | League https://t.co/6B6TRrWceT"
"Tästä me tykkäämme. 

Juomatauon kautta kohti  erää.

#Ilves #Liiga https://t.co/fevnpH4rEJ",ilveshockey,454739528,0,fi,"This is what we we like.

Drinking through a break per lot.

#Ilves #Liiga https://t.co/fevnpH4rEJ"
"Onnistunut valmistautuminen. 

3:59 @RauTeemu (Elorinne, Antonen) 0-1
4:24 @MMaccelli (@ikonen_joona, Salmela) 0- https://t.co/ITob3bBTkb",ilveshockey,454739528,1,fi,"Successful Preparation.

3:59 @RauTeemu (Elorinne, Antonen) 0-1
4:24 @MMaccelli (@ikonen_joona, Salmela) 0 https://t.co/ITob3bBTkb"
RT @anni_maatta: Pirkanmaalaista puhuria Kuparisaaressa! #pekkapouta https://t.co/acrDYiEqhF,ilveshockey,454739528,0,fi,RT @anni_maatta: Pirkanmaa kind of puhuria Copper island! #pekkapouta https://t.co/acrDYiEqhF
Ilves siirtyy 0-3-johtoon Teemu Lepauksen maalilla. Rautiainen ampuu neliön keskeltä ja Lepaus laittaa irtokiekon u https://t.co/vyAh8XYVQU,ilveshockey,454739528,0,fi,Ilves moves to 0-3 lead after Teemu Lepauksen paint. Rautiainen hit square in the middle and put Lepaus irtokiekon u https://t.co/vyAh8XYVQU
"Säävaroitus on annettu!

 0-3 Lepaus!

#Ilves #Liiga https://t.co/tbJUek9sZ9",ilveshockey,454739528,0,fi,"Weather warnings have been given!

 0-3 Lepaus!

#Ilves #Liiga https://t.co/tbJUek9sZ9"
