text,name,id,lang
"3-4, not awful. Could have much worse. Huge P3 in Znojmo. It's a shame I blew my load on a total loss. Wtf happened in Dornbirn today?",JNR0110,382678899,en
Well this is a terrible start to the new year ,JNR0110,382678899,en
"@ZodiacKilla69 ""YTD"" meaning... starting December 19th?",JNR0110,382678899,en
"1/1

Vienna SU/O5.5 P (+116)
Znojmo/Liwest Linz O6.5 (-125)
Graz/Klagenfurt U5.5 (-110)
Dornbirn/Innsbru https://t.co/e4JXkgw7Mh",JNR0110,382678899,de
@ZodiacKilla69 Why POD NBA in the tweet but MAX NBA in the screenshot? Im confused as to what I'm looking at. Did y https://t.co/fL9AgiwCPA,JNR0110,382678899,en
@DangleBets He's got 5 New Years Day POD MAX picks ready for the low low price of $25. What better way to start 2020 with buying his card!?,JNR0110,382678899,en
"@ZodiacKilla69 CBB has ""POD MAX""... but NBA shows ""MAX"" plays in your records. Is there a difference?",JNR0110,382678899,en
"655-598-71 (+21.66u)

28-25 (+0.04)
7-11 (-4.87)
85-71-8 (+2.15)
27-40-3 (-13.79)
21-21-2 (+1.64)
76-79 https://t.co/HNUVCPtU39",JNR0110,382678899,und
"12/31recap

Russia + Canada/Czech O6.5 P (-120)
Sweden -0.5 P1 + Finland FT P (-147)
Sweden -2.5 + Finland/Swiss O5.5 P (-108)",JNR0110,382678899,pl
"@CradleyBurtis @themikeypick Yeah, everyone follows @themikeypick for his trolling of Zodiac. Only way he has a fol https://t.co/YvXOnEipEw",JNR0110,382678899,en
"12/31

Russia + Canada/Czech O6.5 P (-120)
Sweden -0.5 P1 + Finland FT P (-147)
Sweden -2.5 + Finland/Switzerland O5.5 P (-108)",JNR0110,382678899,pl
"12/30recap

Switzerland -1.5 (-115)
Salzburg + Znojmo/Vienna O5.5 P (E)
Poprad SU/O6 P (+126)
Trencin/B https://t.co/sokMM0qV1H",JNR0110,382678899,und
"12/30recap

Herlev FT (-130)
Herlev P1/FT (+165)
Stavanger + Lillehammer/Storhamar BTTS 2g P (-128)
Fr https://t.co/WG7UsTg8ye",JNR0110,382678899,da
"12/30recap

Live- Tappara TT O2.5 FT (-140)
Live- Helsinki (+125)
Live- Lukko (+160)
Live- Karpat TT O https://t.co/VB3SINihAG",JNR0110,382678899,da
What is it about Helsinki and their inability to beat bottom feeder Pelicans? Twice in a row now they cost me money https://t.co/3iS4ToES3H,JNR0110,382678899,en
"Okay, so Nurnberg sucks as bad, if not worse, than Iserlohn. Who knew.",JNR0110,382678899,en
"Live- Helsinki (+125)
Live- Lukko (+160)
Live- Karpat TT O1.5 FT (-125)",JNR0110,382678899,da
