text,name,id,lang,translated
"@LitjFoxn Tja....litt, men mener den kan forsvares",atlebersvendsen,55223004,no,"@LitjFoxn Well .... a little, but thinks it can be defended"
"Min NHL 2010-2020 XI:
              
              Jonathan Quick

  Drew Doughty   Duncan Keith
                Si https://t.co/HNgg99ppde",atlebersvendsen,55223004,en,
Lindvik. Sjukt!,atlebersvendsen,55223004,sv,Lindvik. Sick!
"nsker for 2020:
PL-gull for @LFC
Eliteseriegull for @RBKfotball
Opprykk til 2.div for @byasenTF 
Hockeylandslaget https://t.co/MesnNYNhtQ",atlebersvendsen,55223004,no,Wishes for 2020: PL Gold for @LFC Eliteseriegull for @RBKfotball Promotion to 2nd Div for @byasenTF Hockeylandslaget https://t.co/MesnNYNhtQ
"Mitt kjre Kings er jo bare sorgen i år, og de har nok klabbet til en del av de dyreste kontraktene også. Men de ha https://t.co/2O6LHuCcA0",atlebersvendsen,55223004,no,"After all, my dear Kings are just the grief this year, and they have probably clung to some of the most expensive contracts as well. But they have https://t.co/2O6LHuCcA0"
TV-produksjonen fra Tour de ski bare: https://t.co/lzhvwH2RPq,atlebersvendsen,55223004,no,TV production from Tour de ski only: https://t.co/lzhvwH2RPq
Sånn ofrer man seg i junior-VM for å blokkere skudd. Ikke mye rva frst her...#juniorvm #hockey https://t.co/3DT28l3DjX,atlebersvendsen,55223004,no,This is how you sacrifice in the Junior World Cup to block shots. Not much ass first here ... # juniorvm #hockey https://t.co/3DT28l3DjX
"JHK tar ut det han må i TdS i dag. Få, om noen, langrennslpere som er smartere enn ham.",atlebersvendsen,55223004,no,"JHK takes out what he needs in TdS today. Get, if any, cross-country runners who are smarter than him."
 https://t.co/PGqKOPIxhR,atlebersvendsen,55223004,und, https://t.co/PGqKOPIxhR
Tenner et lys som en trist markering av den sjette romjula på rad uten Getliga-kamp i Trondheim #2hockey #nihf https://t.co/iPEYeMr7Hr,atlebersvendsen,55223004,no,Light a candle as a sad celebration of the sixth room Christmas in a row without a Getliga match in Trondheim # 2hockey #nihf https://t.co/iPEYeMr7Hr
"En godt nyansert artikkel i den evinnelige diskusjonen om tidlig spesialisering innen idrett er lurt, om du vil bli https://t.co/WgIbDQOCeD",atlebersvendsen,55223004,no,"A well-nuanced article in the perpetual discussion about early specialization in sports is advisable, if you want to be https://t.co/WgIbDQOCeD"
 https://t.co/kEEi6Ab9Ly,atlebersvendsen,55223004,und, https://t.co/kEEi6Ab9Ly
"@AndreasSkjetne Måtte gå på dassen i Leangen ishall de siste minuttene der. Klarte ikke å se. 3-4000 tilskuere, kok https://t.co/ESZ2k0oqFW",atlebersvendsen,55223004,no,"@AndreasSkjetne Had to walk at the Leangen ice rink for the last few minutes there. Could not see. 3-4000 spectators, cook https://t.co/ESZ2k0oqFW"
PCS er blant de godt voksne spillerne som jeg tror fortsatt kan og vil spille i eliteserien. Holdninger og spillere https://t.co/veKygtlbcF,atlebersvendsen,55223004,da,PCS is among the well-grown players that I think still can and will play in the elite series. Attitudes and players https://t.co/veKygtlbcF
"RT @GrizzKhan:  Liverpool have won their 47th major honour  extending their English record, 2 ahead of Man Utd

18 League Championships
7",atlebersvendsen,55223004,en,
"@KrStokdahl At det er forklaringer, gjr det ikke mer forståelig. Det er 2020 snart og norsk hockey må kreve mer ma https://t.co/G0jgoLYswL",atlebersvendsen,55223004,no,@KrStokdahl That there are explanations does not make it more understandable. It is 2020 soon and Norwegian hockey must demand more ma https://t.co/G0jgoLYswL
"Antall tilskuere på Grners siste hjemmekamp: 143. 
Etthundreogfrtitre, altså. 
På en kamp i Getligaen, norsk hock https://t.co/IVGM8e174C",atlebersvendsen,55223004,no,"The number of spectators at Grner&#39;s last home game: 143. One hundred and eighty, that is. At a match in Getligaen, Norwegian hock https://t.co/IVGM8e174C"
@aasbak66 med fin julegave til oss på vestsida https://t.co/ATtwAETdaj,atlebersvendsen,55223004,no,@ aasbak66 with a nice Christmas present to us on the west side https://t.co/ATtwAETday
RT @Ole_Saga: Her er valgkomiteens innstilling https://t.co/51Lze6pAqz,atlebersvendsen,55223004,no,RT @Ole_Saga: Here is the nomination committee&#39;s recommendation https://t.co/51Lze6pAqz
Resten av Get-liga-sesongen: https://t.co/ArzCICTYlJ,atlebersvendsen,55223004,sv,The rest of the Get League season: https://t.co/ArzCICTYlJ
ien. Legende. https://t.co/qTU7EyDzkL,atlebersvendsen,55223004,no,ien. Legend. https://t.co/qTU7EyDzkL
@DavyWathne @KZachariassen Den flelsen deles her i Trondheim. Men dessverre er flere av landets strste byer uten https://t.co/Q86xE9Czxn,atlebersvendsen,55223004,no,"@DavyWathne @KZachariassen That feeling is shared here in Trondheim. But unfortunately, several of the country&#39;s largest cities are without https://t.co/Q86xE9Czxn"
"Morsom, denne er. https://t.co/1L1QoR4urT",atlebersvendsen,55223004,da,"Funny, this one is. https://t.co/1L1QoR4urT"
"Ny bra podd, men 16 minutter og 38 sekunder på intro @Ole_Saga og @petterrasmus ???? https://t.co/23jVvhKguE",atlebersvendsen,55223004,no,"New good pod, but 16 minutes and 38 seconds on intro @Ole_Saga and @petterrasmus ???? https://t.co/23jVvhKguE"
@wehn17 @AGjose5 @jbariaas Definisjonen på en proffspiller er krav om minstelnn. Norsk hockey innfrte i sommer en https://t.co/xopbxK760g,atlebersvendsen,55223004,no,@ wehn17 @ AGjose5 @jbariaas The definition of a professional player is a minimum requirement. Norwegian hockey this summer introduced a https://t.co/xopbxK760g
 https://t.co/Nbc3z3U8mt,atlebersvendsen,55223004,und, https://t.co/Nbc3z3U8mt
"For meg har historiene til Kåre, Erik, SIB, Alstad og Koteng et fellestrekk: Tross suksess og lang innsats for RBK, https://t.co/n0NjwQsP4h",atlebersvendsen,55223004,no,"For me, the stories of Kåre, Erik, SIB, Alstad and Koteng have a common feature: Despite the success and long efforts of RBK, https://t.co/n0NjwQsP4h"
RT @Ole_Saga: Siste: Koteng ferdig i Rosenborg https://t.co/E7Im57MgNH,atlebersvendsen,55223004,no,RT @Ole_Saga: Last: Koteng finished in Rosenborg https://t.co/E7Im57MgNH
RT @LAKings: LA Kings had Wings for dinner  https://t.co/1YKKdEE12M,atlebersvendsen,55223004,en,
 https://t.co/x3Mi8ws0Wi,atlebersvendsen,55223004,und, https://t.co/x3Mi8ws0Wi
@kennethmadso91 @tagep @norskishockey @Trondheim @ToreChristians1 Og bare å dra til med hockey-VM i Trondheim og Li https://t.co/mwQ47If3H9,atlebersvendsen,55223004,no,@ kennethmadso91 @tagep @norskishockey @Trondheim @ ToreChristians1 And just going to the hockey World Cup in Trondheim and Li https://t.co/mwQ47If3H9
"""Ishockey står frem som et klart alternativ, men det krever at det bygges en ny hall i Trondheim."" AHA!!!!! https://t.co/DjBiv5ELk2",atlebersvendsen,55223004,no,"&quot;Ice hockey stands out as a clear alternative, but it requires a new hall to be built in Trondheim.&quot; TO HAVE!!!!! https://t.co/DjBiv5ELk2"
Klopp of the world! #ynwa #lfc #liverpool https://t.co/MnGtpq2rWr,atlebersvendsen,55223004,en,
And er godt https://t.co/9AZ3AXntbT,atlebersvendsen,55223004,da,Duck is good https://t.co/9AZ3AXntbT
Red Bull gir deg vinger #ynwa https://t.co/IKLOEwr3yO,atlebersvendsen,55223004,no,Red Bull gives you wings #ynwa https://t.co/IKLOEwr3yO
"@wehn17 @KrStokdahl Så har man klubbene som har kollapset: TIK, RIHK, Bergen, Kongsvinger, Comet (v.1) og millionsl https://t.co/tPIf84M1Mb",atlebersvendsen,55223004,no,"@ wehn17 @KrStokdahl Then you have the clubs that have collapsed: TIK, RIHK, Bergen, Kongsvinger, Comet (v.1) and millionsl https://t.co/tPIf84M1Mb"
@wehn17 @KrStokdahl Eksempel 2: https://t.co/HBL8E93dk6,atlebersvendsen,55223004,in,@ wehn17 @KrStokdahl Example 2: https://t.co/HBL8E93dk6
@wehn17 @KrStokdahl Kun sk på medieomtale av de ulike klubbenes regnskap. Eksempel: https://t.co/DuskPKNTQV,atlebersvendsen,55223004,no,@ wehn17 @KrStokdahl Only on media mention of the various clubs&#39; accounts. Example: https://t.co/DuskPKNTQV
"@KrStokdahl @magnusschaft Importkjret nå er helt utrolig, med tanke på ståa konomisk: Såvidt jeg vet var det bare https://t.co/Pk0Bx302A6",atlebersvendsen,55223004,no,"@KrStokdahl @magnusschaft Importkjret now is absolutely incredible, considering the financial situation: As far as I know it was just https://t.co/Pk0Bx302A6"
"Retweeter egen jinx, bare så andre slipper https://t.co/HSDe9590v5",atlebersvendsen,55223004,sv,"Retweeter&#39;s own jinx, just so others release https://t.co/HSDe9590v5"
"Slapp enda et kunstgresslag i Eliteserien, jaffal.",atlebersvendsen,55223004,sv,"Relax another artificial turf in the Elite series, Jaffal."
"Mål imot etter to minutter i så viktig kamp. Da er du ikke på jobb, rett og slett #lsksta #esnball #eliteserien",atlebersvendsen,55223004,no,"Goal after two minutes in such an important match. Then you are not at work, simply #lsksta #esnball #eliteserien"
@Vegard_Bjelland Episk. Bare helt episk.,atlebersvendsen,55223004,da,@Vegard_Bjelland Epic. Just totally epic.
"KT Eggen, Bratseth, Hoftun, Bjrnebye og Dorsin. Kun forsvarsspillere blir sportslige ledere i RBK, altså #rbk #rosenborg",atlebersvendsen,55223004,no,"KT Eggen, Bratseth, Hoftun, Bjrnebye and Dorsin. Only defense players become athletic leaders in RBK, ie #rbk #rosenborg"
RT @Ole_Saga: Siste: https://t.co/zaTjb0bDND,atlebersvendsen,55223004,es,RT @Ole_Saga: Siste: https://t.co/zaTjb0bDND
 https://t.co/MuWSAaV8eT,atlebersvendsen,55223004,und, https://t.co/MuWSAaV8eT
"Tripic, altså, haha, for en tullball Men er god da",atlebersvendsen,55223004,sv,"Tripic, that is, haha, for a bullshit But is good then"
Skjnner ikke bra av at hoppsporten slår ned på drakter. Det br jo for faen hoppes så langt som mulig. Hva med så https://t.co/F9bfH8ejiP,atlebersvendsen,55223004,no,"Doesn&#39;t make sense because the martial arts hit down on suits. After all, it should be hoped for as far as possible. How about https://t.co/F9bfH8ejiP"
"Deilig hlspark fra Salah, men Keita viser hvorfor tåblsere er undervurdert i moderne fotball. Innafor 16? Få kula på mål",atlebersvendsen,55223004,no,"Delicious hls kick from Salah, but Keita shows why foolers are underestimated in modern football. Inside 16? Get bullet on target"
Jeg er som regel på taperlaget når jeg stemmer. Men ikke her Vel fortjent utmerkelse for Tore Rex https://t.co/hFAVKd3UvM,atlebersvendsen,55223004,no,I&#39;m usually on the losing team when I vote. But not here Well deserved award for Tore Rex https://t.co/hFAVKd3UvM
"Det spilles også to hockeykamper i dag. Hentet fra svenske #SHL og tsjekkiske #Extraliga 
Klikk på  om du er en https://t.co/EtQ9nnurBq",CoolbetNorge,4263789436,no,Two hockey matches are also played today. Retrieved from Swedish #SHL and Czech #Extraliga Click on if you are a https://t.co/EtQ9 OTHERBq
Dag 2 av Pot Limit Omaha (PLO) i dag. Kanskje blir 2020 ditt strste og beste år innenfor poker  https://t.co/f29w0qjmDj,CoolbetNorge,4263789436,no,Day 2 of Pot Limit Omaha (PLO) today. Perhaps 2020 will be your biggest and best year in poker https://t.co/f29w0qjmDj
"Her ser dere gårsdagens fasit i #PremierLeague. 9/9 kamper er vanskelig å prikke, men det er ikke vanskelig å se hv https://t.co/3w88Jw9soc",CoolbetNorge,4263789436,no,"Here you see yesterday&#39;s facet in #PremierLeague. 9/9 matches are hard to dot, but it&#39;s not hard to see what https://t.co/3w88Jw9soc"
Dagens kamp er hentet fra #Championship  Vi gir som alltid 100% tilbakebetaling og forsikring mot kjedelig k https://t.co/3LFeQSj9BX,CoolbetNorge,4263789436,no,Today&#39;s game is taken from #Championship We always give 100% refund and insurance against boring k https://t.co/3LFeQSj9BX
Junior-VM i #ishockey fortsetter  Tyskland - Kazakhstan allerede i gang. Flere store favoritter utover dagen. Hve https://t.co/9IpqnSKgPX,CoolbetNorge,4263789436,da,#Ishockey Junior World Cup continues Germany - Kazakhstan already underway. Several great favorites throughout the day. How https://t.co/9IpqnSKgPX
"Vel blåst ble 42 kamper fra England i går, men det er likevel noen godbiter også i dag. 10 stk skal få dele denne g https://t.co/3SSiJvYZqc",CoolbetNorge,4263789436,no,"Well blown was 42 games from England yesterday, but there are still some goodies today. 10 pcs should share this g https://t.co/3SSiJvYZqc"
Shuffle up and deal! @NMiPoker #2poker https://t.co/GLpfu0wlT6,CoolbetNorge,4263789436,en,
@Oddshjelp @AskeladdEspen vinner denne.,CoolbetNorge,4263789436,no,@Oddshjelp @AskeladdEspen wins this one.
@Maxgevinst @stifler_odds vinner denne. Gratulerer,CoolbetNorge,4263789436,no,@Max gain @stifler_odds wins this one. congratulations
@NikitaKarlsen og @evenha91 tar denne,CoolbetNorge,4263789436,no,@NikitaKarlsen and @ evenha91 take this
"Arsenal sprudler og herjer med #MUFC . Det kunne vrt mye mer enn 2-0, men Arsenal sprakk etter pause sist. Kan https://t.co/UbynTcyXsh",CoolbetNorge,4263789436,no,"Arsenal is thrashing with #MUFC. It could have been much more than 2-0, but Arsenal cracked after the break last. Can https://t.co/UbynTcyXsh"
54% tror på ny jubel for #Solskjr selv om #Pogba ikke er med. #Arsenal har ikke vunnet noen av de seks siste hjemm https://t.co/oVJ2Scl65v,CoolbetNorge,4263789436,no,54% believe in rejoicing for #Solskjr even if #Pogba is not present. #Arsenal have not won any of the last six home games https://t.co/oVJ2Scl65v
@ChampionshipNor @Maxgevinst @Pennipacker og @timzalabim vinner denne.,CoolbetNorge,4263789436,no,@ChampionshipNor @Max win @Pennipacker and @timzalabim win this.
"West Ham valser over Bournemouth, men i de to andre kveldskampene er det veldig åpent. #sjekkoddsen på livebet her: https://t.co/S07BjO3TUR",CoolbetNorge,4263789436,no,"West Ham rolls over Bournemouth, but in the other two night matches it is very open. #checkpodsen on livebet here: https://t.co/S07BjO3TUR"
Vi lader opp til sndagens finale i PLO med NM-satelitt og flippturnering i kveld. Starter du det nye året med triu https://t.co/rXSXyBY5JW,CoolbetNorge,4263789436,no,We are uploading to Sunday&#39;s finale in the PLO with NM satellite and flip tournament tonight. Starting the new year with triu https://t.co/rXSXyBY5JW
@Maxgevinst @SebaztianKibu @Remi_FC @EspenKanestrom @Trond2208 og @wezzper får dele denne. Det blir 700 bonuskroner https://t.co/EzA0rPgv5W,CoolbetNorge,4263789436,no,@Max gain @SebaztianKibu @Remi_FC @EspenKanestrom @ Trond2208 and @wezzper get to share this. There will be 700 bonus crowns https://t.co/EzA0rPgv5W
En av våre flgere sendte oss denne kupongen som han fant på @Maxgevinst og da lodder vi selvsagt ut den på kveldsk https://t.co/9uYVlhuc5c,CoolbetNorge,4263789436,no,One of our followers sent us this coupon that he found on @Maxgevinst and then of course we solder it out on the evening https://t.co/9uYVlhuc5c
@HusseinM99 og @GSkjelfoss vinner denne.,CoolbetNorge,4263789436,no,@ HusseinM99 and @GSkjelfoss win this one.
