text,name,id,lang,translated
"Tidigare assisterande tränaren Henrik hnstrand blir ny huvudtränare i nedflyttade @GIFSundsvall 

 Läs mer: https://t.co/2f7qqd82hA",AllsvenskanSE,3620998455,sv,Former assistant coach Henrik hnstrand becomes new head coach in relegated @GIFSundsvall Read more: https://t.co/2f7qqd82hA
"Ikväll avgörs det i Europa Leagues grupp B, där @Malmo_FF har chans till avancemang när man reser över resundsbron https://t.co/En8YBjuJRJ",AllsvenskanSE,3620998455,sv,"Tonight it is decided in Europa League&#39;s Group B, where @Malmo_FF has the chance to advance when traveling across the Resund Bridge https://t.co/En8YBjuJRJ"
RT @SEF_Elitfotboll: Musikhjälpen 2019: @cmoresport  lottar ut en exklusiv tv-sändning för ditt idrottslag till förmån för insamlingen och,AllsvenskanSE,3620998455,sv,RT @SEF_Elitfotboll: Music Aid 2019: @cmoresport draws an exclusive TV broadcast for your sports team for the benefit of the collection and
Tävla om den officiella Allsvenskan-bollen för 2020 genom att svara på en ny fråga varje dag fram till julafton i v https://t.co/9kVmdZmv4q,AllsvenskanSE,3620998455,sv,Compete for the official Allsvenskan ball for 2020 by answering a new question every day until Christmas Eve iv https://t.co/9kVmdZmv4q
".@siriusfotboll värvar mittfältaren Nahom Girmai Netabay från uppflyttade @VarbergsBoISFC 

 Läs mer: https://t.co/9qBxDKDn3r",AllsvenskanSE,3620998455,sv,@ sirius football recruits midfielder Nahom Girmai Netabay from upstarted @VarbergsBoISFC Read more: https://t.co/9qBxDKDn3r
"RT @siriusfotboll:  Nahom Girmai Netabay är klar för Sirius! Den 25-årige mittfältaren har skrivit på för två år i Blåsvart.

 ""Sirius",AllsvenskanSE,3620998455,sv,RT @sirius football: Nahom Girmai Netabay is ready for Sirius! The 25-year-old midfielder has signed on for two years in Blåsvart. &quot;Sirius
"Idag skickar vi födelsedagsgratulationer till #Allsvenskan:s skytteligavinnare 2006, förre @KalmarFF-anfallaren Ari https://t.co/Gh8m7OB7by",AllsvenskanSE,3620998455,sv,"Today we send birthday congratulations to #Allsvenskan&#39;s shooter winner in 2006, former @ KalmarFF striker Ari https://t.co/Gh8m7OB7by"
Tävla om den officiella Allsvenskan-bollen för 2020 genom att svara på en ny fråga varje dag fram till julafton i v https://t.co/75FzrUyzLU,AllsvenskanSE,3620998455,sv,Compete for the official Allsvenskan Ball for 2020 by answering a new question every day until Christmas Eve iv https://t.co/75FzrUyzLU
Tävla om den officiella Allsvenskan-bollen för 2020 genom att svara på en ny fråga varje dag fram till julafton i v https://t.co/IbSxQHj9gs,AllsvenskanSE,3620998455,sv,Compete for the official Allsvenskan ball for 2020 by answering a new question every day until Christmas Eve iv https://t.co/IbSxQHj9gs
Tävla om den officiella Allsvenskan-bollen för 2020 genom att svara på en ny fråga varje dag fram till julafton i v https://t.co/GAlZsSVEpl,AllsvenskanSE,3620998455,sv,Compete for the official Allsvenskan ball for 2020 by answering a new question every day until Christmas Eve iv https://t.co/GAlZsSVEpl
